ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
1654,レベルの上限は育成対象キャラクターによって異なる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,パラメータの初期値は育成対象キャラクターによって異なる,0.97,0,育成対象キャラクターのレベルには上限がある,0.96,0,リーダースキルは育成対象キャラクターごとに異なる,0.96
1655,次のレベルまでに必要な経験値の値が確認できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,獲得できる地図のレベルの決定条件には「プレイヤーキャラクターの職業で最も高いレベルの値」がある,0.94,0,各パラメータごとの経験値が一定値に達すると段階評価があがる,0.93,0,強化合成でレベル上昇する育成対象キャラクターのパラメータの上昇値の予測値が確認できる,0.93
1656,育成キャラクターにはスキルがある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,10,キャラにはスキルがある,0.97,0,育成キャラクターにはランクがある,0.97,0,育成対象キャラクターにはレベルがある,0.96
1657,スキルはバトル中に条件を満たすと使用できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,ゲーム内で特定の条件を満たすと称号を獲得できる,0.96,0,育成キャラクターは条件を満たすと進化する,0.95,0,リーダースキルはバトル中に発動する,0.94
1658,スキルが使用できる状態がアイコンで示される,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,疲労度に応じてアイコンが表示される,0.94,0,一定被ダメージで育成対象キャラクターに傷アイコンが表示される,0.94,0,イベントが発生するNPCアイコンにはマークが表示される,0.94
1659,スキルは育成対象キャラクター毎に1つ設定されている,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,9,スキルは育成対象キャラクター毎に設定されている,0.98,0,育成キャラクターは特性が1つ設定されている,0.97,0,コストは育成対象キャラクターごとに設定されている,0.96
1660,スキルの付け替えや変更はできない,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,特性は任意に変更ができない,0.91,0,せいかくはレベルアップや進化などで変化することはない,0.91,0,特定施設でデッキ編成外の育成キャラクターの呼び出し、削除ができる,0.91
1661,スキルにはクールタイムが設定されている,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,スキルにはレベルが設定されている,0.97,0,武器にはスキルが設定されている,0.97,0,育成キャラクターにはスキルが設定されている,0.96
1662,スキルにはレベルが設定されている,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,武器にはスキルが設定されている,0.98,0,育成コマンドにはレベルが設定されている,0.98,0,育成キャラクターにはスキルが設定されている,0.98
1663,強化合成がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,進化合成がある,0.93,0,強化合成には成功と大成功がある,0.88,0,育成馬強化コマンドには成功失敗がある,0.85
1664,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターが経験値を獲得できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,10,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターを強化できる,0.99,0,合成すると合成元を消費して新たな育成対象キャラクターを入手できる,0.97,0,進化合成は特定の育成対象キャラクターを消費して進化させることができる,0.96
1665,強化合成に使用した育成対象キャラクターは削除される,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,入手した育成対象キャラクターは図鑑に登録される,0.95,0,バトルで減少した育成対象キャラクターのHPは自然回復しない,0.95,0,育成コマンド実行中は育成対象キャラクターのSDキャラクターが登場する,0.94
1666,強化合成で得られる経験値は消費する育成対象キャラクターごとに異なる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,強化合成で得られる経験値は消費する育成対象キャラクターのレベルに応じて変動,0.98,10,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.98,0,レベルアップに必要な経験値は育成対象キャラクター毎に異なる,0.97
1667,強化合成で得られる経験値は消費する育成対象キャラクターのレベルに応じて変動,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,強化合成で得られる経験値は消費する育成対象キャラクターごとに異なる,0.98,0,レベルアップに必要な経験値は育成対象キャラクター毎に異なる,0.97,10,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.97
1668,強化合成にはゲーム内通貨を消費,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,進化合成にはゲーム内通貨を消費,0.99,0,増築にはゲーム内通貨を消費する,0.97,0,育成コマンドの実行にはゲーム内通貨を使用できる,0.96
1669,強化合成で消費する価格は消費する育成対象キャラクターのレベルに応じて変動,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,進化合成で消費する価格は消費する育成対象キャラクターによって異なる,0.94,0,強化合成で得られる経験値は消費する育成対象キャラクターのレベルに応じて変動,0.94,0,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.93
1670,強化合成でレベル上昇した育成対象キャラクターのパラメータの上昇値が確認できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,9,強化合成でレベル上昇する育成対象キャラクターのパラメータの上昇値の予測値が確認できる,0.99,0,レベルアップすると育成対象キャラクターのパラメータが上昇,0.96,0,索敵によって育成対象キャラクターの特定のパラメータが上昇する,0.96
1671,進化合成がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,強化合成がある,0.93,0,強化合成には成功と大成功がある,0.85,0,育成コマンドが複数種ある,0.85
1672,進化合成は特定の育成対象キャラクターを消費して進化させることができる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターを強化できる,0.96,0,強化合成は所持している別の育成対象キャラクターを消費して任意のキャラクターが経験値を獲得できる,0.96,10,合成すると合成元を消費して新たな育成対象キャラクターを入手できる,0.96
1673,進化合成に必要なキャラクターは育成対象キャラクターごとに異なる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.97,0,進化合成で消費する価格は消費する育成対象キャラクターによって異なる,0.96,0,リーダースキルは育成対象キャラクターごとに異なる,0.96
1674,進化合成を行ったキャラクターは別のキャラクター扱いになる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,進化合成に必要なキャラクターは育成対象キャラクターごとに異なる,0.93,0,進化合成は特定の育成対象キャラクターを消費して進化させることができる,0.93,0,強化合成に使用した育成対象キャラクターは削除される,0.93
1675,進化合成にはゲーム内通貨を消費,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,強化合成にはゲーム内通貨を消費,0.99,0,増築にはゲーム内通貨を消費する,0.97,0,育成コマンドの実行にはゲーム内通貨を使用できる,0.95
1676,進化合成で消費する価格は消費する育成対象キャラクターによって異なる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,強化合成で上昇するパラメータは消費する育成対象キャラクターごとに異なる,0.97,0,強化合成で得られる経験値は消費する育成対象キャラクターごとに異なる,0.96,0,進化合成に必要なキャラクターは育成対象キャラクターごとに異なる,0.96
1677,進化合成を行うとLvが1になる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,進化合成を行ったキャラクターは別のキャラクター扱いになる,0.91,0,進化すると見た目と名前が変化する,0.91,0,進化条件には関係度が高い状態でレベルアップが含まれる,0.91
1678,フレンド機能がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,システムメニューがある,0.9,0,システムメニューではセーブができる,0.87,0,システムメニューではロードができる,0.87
1679,他プレイヤーをフレンド登録できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,他プレイヤーの育成対象キャラクターと対戦できるモードがある,0.91,0,他プレイヤーのデッキと対戦できるコンテンツがある,0.91,0,通信で他プレイヤーと対戦できる,0.9
1680,フレンド登録数には上限がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,装備数には上限がある,0.96,0,所持できるキャラクター数には上限がある,0.95,0,引き継ぐスキル数には上限がある,0.95
1681,プレイヤーキャラクターのレベルが上がるとフレンド登録数上限が増える,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,プレイヤーキャラクターのレベルが上がるとコスト系パラメータ上限が増える,0.97,0,デッキコスト上限はプレイヤーのランクが上がると増える,0.96,0,レベルが上がるとコスト系パラメータが上限まで回復する,0.94
1682,ガチャがある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,サブデッキがある,0.88,0,季節イベントがある,0.87,0,時期イベントがある,0.87
1683,ガチャは複数の種類がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,スキルは複数種類ある,0.93,0,タイプは複数種類ある,0.93,0,育成対象キャラクターは複数の入手方法がある,0.92
1684,ガチャによってランダムで育成対象キャラクターを獲得できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,ガチャによってランダムで装備を獲得できる,0.98,0,クエストで育成対象キャラクターを獲得できる,0.97,2,ショップで育成対象キャラクターを入手できる,0.96
1685,ガチャには無料ポイントを消費して実行できるものがある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,ガチャには課金ポイントを消費して実行できるものがある,0.99,0,育成コマンドには所持金を消費するものがある,0.94,0,時期イベントの選択肢には所持金を消費するものがある,0.93
1686,ガチャには課金ポイントを消費して実行できるものがある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,ガチャには無料ポイントを消費して実行できるものがある,0.99,0,育成コマンドには所持金を消費するものがある,0.95,0,育成コマンドには所持金を増加させるものがある,0.94
1687,特定のガチャでしか獲得できないキャラクターがいる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,特定組み合わせの合成でのみ入手できる育成対象キャラクターがいる,0.95,2,たまごからのみ獲得できる育成キャラクターがいる,0.95,0,ガチャによってランダムで育成対象キャラクターを獲得できる,0.94
1688,獲得した育成対象キャラクターはボックスに送られる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,入手した育成対象キャラクターは図鑑に登録される,0.96,0,カードは育成中のレースで獲得できる,0.93,0,リーダー設定した育成対象キャラクターは他プレイヤーのレンタルリストに表示される,0.93
1689,所持できるキャラクター数には上限がある,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,装備できるアイテム数には上限がある,0.99,0,習得できるわざ数には上限がある,0.98,0,引き継ぐスキル数には上限がある,0.97
1690,ボックスの上限は拡張できる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,回復コマンド設定枠には上限がある,0.92,0,入手コマンド設定枠には上限がある,0.92,0,装備できるアイテム数には上限がある,0.91
1691,育成対象キャラクターは任意で削除ができる,パズル＆ドラゴンズ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,4,8,プレイヤーキャラクター以外の育成キャラクターは特定施設で削除ができる,0.95,2,保存している育成対象キャラクターは削除が可能,0.94,9,特定施設で育成対象キャラクターの削除可能,0.94
1692,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1693,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1694,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1695,,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1696,パラメータとの結びつきが不明な目標がそれとなく提示される,艦これ,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,11,9,パラメータとの結びつきが不明な目標がはっきりと提示される,0.98,0,関係度は複数のパラメータによって構成される,0.9,0,探索での成功失敗には特定パラメータが使用される,0.9
1697,ゲームの最初にプレイヤーキャラクターの名前を決める,艦これ,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,14,10,ゲームの最初にプレイヤーキャラクターの名前を決める。,0.99,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.99,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98
1698,育成対象キャラクターが複数いる,艦これ,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,10,育成対象キャラが複数いる,0.99,10,育成対象キャラクターが複数いる。,0.99,10,育成対象キャラクターが複数種類いる,0.98
1699,初期育成キャラクターは固定グループの中から1キャラクターのみ選択,艦これ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,6,9,初期育成キャラクターは3キャラクターの中から1キャラクターのみ選択,0.98,8,育成対象キャラクターを固定グループから3人選ぶ,0.95,9,ゲームの最初に育成対象キャラクターを選ぶ（10人の育成対象キャラのなかから任意の3人の仲間を選択）。,0.95
1700,育成期間に制限がない,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,9,9,第二ゲームには育成期間の制限がない,0.94,0,レベルによる装備制限はない,0.92,0,クエストには期限がない,0.91
1701,プレイヤーキャラクターにはレベルがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,育成対象キャラクターにはレベルがある,0.97,0,武器にはレベルがある,0.96,0,育成キャラクターにはスキルがある,0.96
1702,育成対象キャラクターにはレベルがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,育成対象キャラクターにはパラメータがある,0.98,0,育成対象キャラクターにはレアリティがある,0.97,0,育成キャラクターにはランクがある,0.97
1703,クエストはリスト表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,引き継ぐスキルはリスト表示される,0.96,0,作戦はリストで表示される,0.95,0,合成する育成キャラクターはリスト表示される,0.94
1704,ゲームの進行に合わせてクエストが追加される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,容姿はゲーム進行に合わせて変化する,0.94,0,購入できる装備はゲーム進行にあわせて増える,0.93,0,ゲームを進行していると追加でスキルを選ぶイベントがある,0.92
1705,クエスト挑戦にはコストが必要ない,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,入手コマンド実行には専用コストがある,0.92,0,クエストには期限がない,0.92,0,進化合成にはゲーム内通貨を消費,0.92
1706,クエストにはマップがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,マップには天候がある,0.94,0,マップには昼夜がある,0.93,0,「宝の地図」にはレベルがある,0.92
1707,マップ内にはステージが複数ある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,育成モードが複数ある,0.92,0,「宝の地図」には特定ボスが出現するものがある,0.91,0,マップには昼夜がある,0.91
1708,ステージには敵が出現する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,「宝の地図」には特定ボスが出現するものがある,0.91,0,ステージにはアイテムのみ獲得できるものがある,0.91,9,マップ移動中や特定の場所ではバトルが発生する,0.91
1709,ステージにはアイテムのみ獲得できるものがある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,アイテムは確率で入手できるものがある,0.95,0,「宝の地図」には特定ボスが出現するものがある,0.94,0,持ち込んだアイテムには装備不可のものがある,0.94
1710,最後のステージの敵を倒すとクエストクリア,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,9,最後のウェーブに勝利するとクエストクリア,0.94,0,残量が多いと勝利となり次のステージへ進む,0.91,0,敵を倒すことで次ターンのクリティカル確率がアップする,0.91
1711,育成対象キャラクターは複数体デッキ編成が可能,艦これ,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,15,10,育成キャラクターは複数体デッキに編成可能,0.98,9,育成キャラクターは同時に3キャラまで同時に育成が可能,0.95,10,プレイヤーキャラクター以外に最大3キャラクターまでデッキ編成可能,0.95
1712,デッキは複数種類保存できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,セーブデータは1つのみ作成できる,0.93,0,育成終了したキャラクターは最大8つまで記録できる,0.91,0,デッキ編成したキャラクターはメニューで隊列が変更できる,0.91
1713,デッキ編成できる育成対象キャラクター数には上限がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,育成対象キャラクターのレベルには上限がある,0.97,0,所持できるキャラクター数には上限がある,0.97,0,派遣コンテンツに指定できるキャラクター数には上限がある,0.96
1714,敵とのバトル前に作戦を決められる場合がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,8,敵とのバトル前に作戦を決められる,0.98,0,バトル前に索敵を行う場合がある,0.95,0,特訓コマンド終了時にアイテムを獲得する場合がある,0.93
1715,作戦はリストで表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,クエストはリスト表示される,0.95,0,各パラメータはグラフで表示される,0.93,0,引き継ぐスキルはリスト表示される,0.93
1716,作戦ごとにバトルに影響する効果が異なる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,9,作戦ごとにバトルで上昇するパラメータが異なる,0.97,0,種目ごとに使用するパラメータが異なる,0.94,0,バトルでわざを使用した際に相性に応じてダメージ量が変動する,0.94
1717,育成キャラクターの各パラメータは主にバトルで使用される,艦これ,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,19,0,プレイヤーキャラクター専用のパラメータは育成終了時に評価される,0.96,0,育成キャラクターの一部パラメータはバトル以外のコンテンツで使用される場合がある,0.95,0,育成キャラクターはバトルで使用するわざを習得する,0.94
1718,バトルはターン制,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,7,10,バトルはターン制を採用,0.95,10,バトルはターン制で進行,0.94,0,ターン制,0.93
1719,バトルは自動で進行する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,バトルはターン制で進行,0.95,0,ゲームはターン制で進行,0.94,0,ロスト中は見つかるまで自動でターンが進む,0.92
1720,バトル前に索敵を行う場合がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,敵とのバトル前に作戦を決められる場合がある,0.95,0,特訓コマンド終了時にアイテムを獲得する場合がある,0.94,0,ランダムで育成コマンドをサボることがある,0.93
1721,索敵によって育成対象キャラクターの特定のパラメータが上昇する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,アイテムを装備すると育成対象キャラクターのパラメータが上昇する,0.97,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.96,5,イベントでは育成対象キャラクターのパラメータが変動する,0.96
1722,索敵時にスキル発動キャラのカットイン演出が再生される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,9,必殺状態になる際にカットイン演出が再生される,0.96,9,必殺技を発動すると育成キャラクターに対応したカットイン演出が再生される,0.95,2,攻撃する育成対象キャラクターの装備のカットインが表示される,0.95
1723,すばやさが高い順に攻撃する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,10,「すばやさ」パラメータはバトル中の行動順に影響,0.9,0,関係度が高いと実行できる育成コマンドがある,0.87,0,得意な育成コマンドは成功率が上がる,0.87
1724,攻撃する育成対象キャラクターの装備のカットインが表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,10,攻撃する育成対象キャラクターのカットインが表示される,0.99,0,メイン画面では育成対象キャラクターの能力が表示される,0.96,0,一定被ダメージで育成対象キャラクターに傷アイコンが表示される,0.96
1725,1定被ダメージで育成対象キャラクターに傷アイコンが表示される,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,攻撃する育成対象キャラクターの装備のカットインが表示される,0.96,0,攻撃する育成対象キャラクターのカットインが表示される,0.95,0,一定被ダメージで育成対象キャラクターの服装が変化する,0.95
1726,傷アイコンには段階がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,バトル評価には段階がある,0.94,0,疲労度は段階がある,0.92,0,各コンテンツにはグレードがある,0.9
1727,1定被ダメージで育成対象キャラクターの服装が変化する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,育成対象キャラクターは特定条件で容姿が変化する,0.97,0,時間経過に応じて育成対象キャラクターのパラメータが変化する,0.96,0,索敵によって育成対象キャラクターの特定のパラメータが上昇する,0.96
1728,敵味方1定数行動するか敵味方どちらか全員のHPが0になるとバトルが終了,艦これ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,6,8,バトルは敵味方どちらか全員のHPが0になると終了,0.98,0,味方キャラのコマンド入力がすべて完了すると敵味方が行動を開始,0.95,5,デッキ編成しているキャラクターすべてのHPが0になると敗北扱いとなる,0.94
1729,別モードのバトルが発生する場合がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,育成キャラクターの一部パラメータはバトル以外のコンテンツで使用される場合がある,0.93,0,時期イベントではミニゲームが開始するものがある,0.92,0,他プレイヤーの育成対象キャラクターと対戦できるモードがある,0.92
1730,別モードと通常時ではカットイン含めて演出が変わる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,索敵時にスキル発動キャラのカットイン演出が再生される,0.92,0,必殺技を発動すると育成キャラクターに対応したカットイン演出が再生される,0.91,0,立ち絵とSDキャラクターは状態によってポーズや表情が変更される。,0.91
1731,バトルに勝敗判定がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,勝敗判定後にバトル評価が決定する,0.93,0,バトル評価には段階がある,0.91,0,通信バトルには報酬がある,0.9
1732,判定はバトル終了の敵味方のHP残量に応じて行われる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,キャラクター経験値の獲得量はバトル内の活躍で変動する,0.93,0,回復量に応じて必要なアイテムと時間が変動する,0.93,0,育成終了時のパラメータに応じてEDが変化,0.92
1733,残量が多いと勝利となり次のステージへ進む,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,敵全員のHPが0になった場合は勝利扱いとなり報酬を獲得しプレイが再開する,0.94,2,勝利すると次のウェーブに進む,0.93,0,敵を倒すことで次ターンのクリティカル確率がアップする,0.92
1734,勝敗判定後にバトル評価が決定する,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,バトルに勝敗判定がある,0.93,0,育成コマンドの成否は練習実行画面で表示される,0.92,0,バトルの結果順位がつけられる,0.91
1735,バトル評価には段階がある,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,疲労度は段階がある,0.95,0,傷アイコンには段階がある,0.94,0,強化段階には上限がある,0.94
1736,バトル評価に応じて報酬が変化する,艦これ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,9,バトルの順位に応じて報酬を獲得できる,0.96,0,グレードに応じて難易度と報酬が変化する,0.96,0,アクションの結果によって評価が変化する,0.96
1737,報酬は勝敗関係なく獲得できる,艦これ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,アイテムはゲームプレイの報酬として獲得できる,0.93,0,初クリア時のみ獲得できる報酬がある,0.92,0,ポイントはコンテンツの順位に応じても獲得できる,0.92
